event,year,month,day,category,description,difficulty,region,tags,source,wikipediaSlug,imageCaption
George III becomes King of Britain. Beginning of industrial revolution in Great,1760,,,war-politics,1760 : George III becomes King of Britain. Beginning of industrial revolution in Great Britain,1,Europe,revolution;evolution,https://en.wikipedia.org/wiki/1760,1760,
Marine chronometer invented,1761,,,science-technology,1761 : Marine chronometer invented.,2,Global,,https://en.wikipedia.org/wiki/1761,1761,
1796 : Reign of Catherine the Great of Russia,1762,,,war-politics,1762 – 1796 : Reign of Catherine the Great of Russia.,2,Global,,https://en.wikipedia.org/wiki/1762,1762,
The Treaty of Paris ends the Seven Years' War and Third Carnatic War,1763,,,war-politics,1763 : The Treaty of Paris ends the Seven Years' War and Third Carnatic War.,3,Global,war;treaty,https://en.wikipedia.org/wiki/1763,1763,
The Stamp Act is introduced into the American colonies by the British Parliament,1765,,,war-politics,1765 : The Stamp Act is introduced into the American colonies by the British Parliament.,2,Americas,,https://en.wikipedia.org/wiki/1765,1765,
Christian VII becomes king of Denmark. He was king of Denmark to 1808,1766,,,war-politics,1766 : Christian VII becomes king of Denmark. He was king of Denmark to 1808 .,2,Global,,https://en.wikipedia.org/wiki/1766,1766,
Burmese conquer the Ayutthaya Kingdom,1767,,,war-politics,1767 : Burmese conquer the Ayutthaya Kingdom .,2,Global,,https://en.wikipedia.org/wiki/1767,1767,
Gurkhas conquer Nepal,1768,,,war-politics,1768 : Gurkhas conquer Nepal .,2,Global,,https://en.wikipedia.org/wiki/1768,1768,
"The Corsican War of Independence ends, after the French Conquest of Corsica . Na",1769,,,war-politics,"1769 : The Corsican War of Independence ends, after the French Conquest of Corsica . Napoleon is also born on Corsica in 1769, and becomes a natural-born French citizen.",1,Global,war;independence,https://en.wikipedia.org/wiki/1769,1769,
Birth of Ludwig van Beethoven,1770,,,war-politics,1770 : Birth of Ludwig van Beethoven,2,Global,,https://en.wikipedia.org/wiki/1770,1770,
The Plague Riot in Moscow,1771,,,exploration-disasters,1771 : The Plague Riot in Moscow.,1,Global,plague,https://en.wikipedia.org/wiki/1771,1771,
1772,1772,,,art-culture-religion,"1772 (MDCCLXXII) was a leap year starting on Wednesday of the Gregorian calendar and a leap year starting on Sunday of the Julian calendar, the 1772nd year of the Common Era (CE) and Anno Domini (AD) designations, the 772nd year of the 2nd millennium, the 72nd year of the 18th century, and the 3rd year of the 1770s decade.",2,Global,art,https://en.wikipedia.org/wiki/1772,1772,Calendar year
1773,1773,,,art-culture-religion,"1773 (MDCCLXXIII) was a common year starting on Friday of the Gregorian calendar and a common year starting on Tuesday of the Julian calendar, the 1773rd year of the Common Era (CE) and Anno Domini (AD) designations, the 773rd year of the 2nd millennium, the 73rd year of the 18th century, and the 4th year of the 1770s decade.",2,Global,art,https://en.wikipedia.org/wiki/1773,1773,Calendar year
1775,1775,,,art-culture-religion,"1775 (MDCCLXXV) was a common year starting on Sunday of the Gregorian calendar and a common year starting on Thursday of the Julian calendar, the 1775th year of the Common Era (CE) and Anno Domini (AD) designations, the 775th year of the 2nd millennium, the 75th year of the 18th century, and the 6th year of the 1770s decade.",2,Global,art,https://en.wikipedia.org/wiki/1775,1775,Calendar year
1776,1776,,,art-culture-religion,"1776 (MDCCLXXVI) was a leap year starting on Monday of the Gregorian calendar and a leap year starting on Friday of the Julian calendar, the 1776th year of the Common Era (CE) and Anno Domini (AD) designations, the 776th year of the 2nd millennium, the 76th year of the 18th century, and the 7th year of the 1770s decade.",2,Global,art,https://en.wikipedia.org/wiki/1776,1776,Calendar year
1778,1778,,,art-culture-religion,"1778 (MDCCLXXVIII) was a common year starting on Thursday of the Gregorian calendar and a common year starting on Monday of the Julian calendar, the 1778th year of the Common Era (CE) and Anno Domini (AD) designations, the 778th year of the 2nd millennium, the 78th year of the 18th century, and the 9th year of the 1770s decade.",2,Global,art,https://en.wikipedia.org/wiki/1778,1778,Calendar year
1779,1779,,,art-culture-religion,"1779 (MDCCLXXIX) was a common year starting on Friday of the Gregorian calendar and a common year starting on Tuesday of the Julian calendar, the 1779th year of the Common Era (CE) and Anno Domini (AD) designations, the 779th year of the 2nd millennium, the 79th year of the 18th century, and the 10th and last year of the 1770s decade.",2,Global,art,https://en.wikipedia.org/wiki/1779,1779,Calendar year
1780,1780,,,art-culture-religion,"1780 (MDCCLXXX) was a leap year starting on Saturday of the Gregorian calendar and a leap year starting on Wednesday of the Julian calendar, the 1780th year of the Common Era (CE) and Anno Domini (AD) designations, the 780th year of the 2nd millennium, the 80th year of the 18th century, and the 1st year of the 1780s decade.",2,Global,art,https://en.wikipedia.org/wiki/1780,1780,Calendar year
1781,1781,,,art-culture-religion,"1781 (MDCCLXXXI) was a common year starting on Monday of the Gregorian calendar and a common year starting on Friday of the Julian calendar, the 1781st year of the Common Era (CE) and Anno Domini (AD) designations, the 781st year of the 2nd millennium, the 81st year of the 18th century, and the 2nd year of the 1780s decade.",2,Global,art,https://en.wikipedia.org/wiki/1781,1781,Calendar year
1783,1783,,,art-culture-religion,"1783 (MDCCLXXXIII) was a common year starting on Wednesday of the Gregorian calendar and a common year starting on Sunday of the Julian calendar, the 1783rd year of the Common Era (CE) and Anno Domini (AD) designations, the 783rd year of the 2nd millennium, the 83rd year of the 18th century, and the 4th year of the 1780s decade.",2,Global,art,https://en.wikipedia.org/wiki/1783,1783,Calendar year
1785,1785,,,art-culture-religion,"1785 (MDCCLXXXV) was a common year starting on Saturday of the Gregorian calendar and a common year starting on Wednesday of the Julian calendar, the 1785th year of the Common Era (CE) and Anno Domini (AD) designations, the 785th year of the 2nd millennium, the 85th year of the 18th century, and the 6th year of the 1780s decade.",2,Global,art,https://en.wikipedia.org/wiki/1785,1785,Calendar year
1786,1786,,,art-culture-religion,"1786 (MDCCLXXXVI) was a common year starting on Sunday of the Gregorian calendar and a common year starting on Thursday of the Julian calendar, the 1786th year of the Common Era (CE) and Anno Domini (AD) designations, the 786th year of the 2nd millennium, the 86th year of the 18th century, and the 7th year of the 1780s decade.",2,Global,art,https://en.wikipedia.org/wiki/1786,1786,Calendar year
The United States Constitution is written in Philadelphia and submitted to the s,1787,,,war-politics,1787 : The United States Constitution is written in Philadelphia and submitted to the states for ratification.,2,Americas,,https://en.wikipedia.org/wiki/1787,1787,
First French Quaker community established in Congénies,1788,,,war-politics,1788 : First French Quaker community established in Congénies .,2,Global,,https://en.wikipedia.org/wiki/1788,1788,
George Washington is elected the first President of the United States . Inaugura,1789,,,war-politics,"1789 : George Washington is elected the first President of the United States . Inaugurated on April 30, he serves until 1797 .",2,Americas,,https://en.wikipedia.org/wiki/1789,1789,
The United States of Belgium is proclaimed following the Brabant Revolution,1790,,,war-politics,1790 : The United States of Belgium is proclaimed following the Brabant Revolution .,1,Americas,revolution;evolution,https://en.wikipedia.org/wiki/1790,1790,
The Constitutional Act (or Canada Act) creates the two provinces of Upper and Lo,1791,,,war-politics,1791 : The Constitutional Act (or Canada Act) creates the two provinces of Upper and Lower Canada in British North America .,2,Americas,,https://en.wikipedia.org/wiki/1791,1791,
"1802 : The French Revolutionary Wars lead into the Napoleonic Wars , which last",1792,,,war-politics,"1792 – 1802 : The French Revolutionary Wars lead into the Napoleonic Wars , which last from 1803 – 1815 .",1,Global,war;revolution;evolution,https://en.wikipedia.org/wiki/1792,1792,
Former King Louis XVI of France and his wife Marie Antoinette are guillotined,1793,,,war-politics,"1793 : Former King Louis XVI of France and his wife Marie Antoinette are guillotined . Louis is executed in January, Marie Antoinette in October.",2,Europe,,https://en.wikipedia.org/wiki/1793,1793,
"1816 : The Hawkesbury and Nepean Wars , which were a series of incidents between",1794,,,war-politics,"1794 – 1816 : The Hawkesbury and Nepean Wars , which were a series of incidents between settlers and New South Wales Corps and the Aboriginal Australian clans of the Hawkesbury river in Sydney , Australia .",2,Oceania,war,https://en.wikipedia.org/wiki/1794,1794,
Mohammad Khan Qajar razes Tbilisi to the ground,1795,,,war-politics,1795 : Mohammad Khan Qajar razes Tbilisi to the ground.,2,Global,,https://en.wikipedia.org/wiki/1795,1795,
Edward Jenner administers the first smallpox vaccination ; smallpox killed an es,1796,,,science-technology,"1796 : Edward Jenner administers the first smallpox vaccination ; smallpox killed an estimated 400,000 Europeans each year during the 18th century, including five reigning monarchs . [ 22 ]",1,Europe,war;europe,https://en.wikipedia.org/wiki/1796,1796,
John Adams is inaugurated on March 4 as President of the United States following,1797,,,war-politics,1797 : John Adams is inaugurated on March 4 as President of the United States following the 1796 United States presidential election . The peaceful transfer of power from the Washington administration to Adams sets a precedent for relinquishing executive power and transferring it,2,Americas,,https://en.wikipedia.org/wiki/1797,1797,
The Irish Rebellion fails to overthrow British rule in Ireland,1798,,,war-politics,1798 : The Irish Rebellion fails to overthrow British rule in Ireland .,2,Europe,,https://en.wikipedia.org/wiki/1798,1798,
Napoleon stages a coup d'état and becomes First Consul of France,1799,,,war-politics,1799 : Napoleon stages a coup d'état and becomes First Consul of France.,1,Europe,,https://en.wikipedia.org/wiki/1799,1799,
Dutch East India Company,23,,,art-culture-religion,"The United East India Company, commonly known as the Dutch East India Company, was a chartered trading company and one of the first joint-stock companies in the world. Established on 20 March 1602 by the States General of the Netherlands amalgamating existing companies, it was granted a 21-year monopoly to carry out trade activities in Asia.",3,Europe,art;trade;asia,https://en.wikipedia.org/wiki/Dutch_East_India_Company,Dutch_East_India_Company,1602–1799 Dutch trading company
"^ ""War of the Spanish Succession, 1701–1714"" . Historyofwar.org . Retrieved 2009",2009,4,25,war-politics,"^ ""War of the Spanish Succession, 1701–1714"" . Historyofwar.org . Retrieved 2009-04-25 .",2,Global,war,,,
"^ Ricklefs (1991), page 82",1991,,,war-politics,"^ Ricklefs (1991), page 82",2,Global,,,,
"^ Historic uk – heritage of britain accommodation guide (2007-05-03). ""The histo",2007,5,3,war-politics,"^ Historic uk – heritage of britain accommodation guide (2007-05-03). ""The history of Scotland – The Act of Union in 1707"" . Historic-uk.com. Archived from the original on 8 April 2009 . Retrieved 2009-04-25 .",2,Europe,,,,
"^ Moore (Ed) (1999), p90",1999,,,war-politics,"^ Moore (Ed) (1999), p90",2,Global,,,,
"^ a b Ricklefs (1991), page 84",1991,,,war-politics,"^ a b Ricklefs (1991), page 84",2,Global,,,,
"^ ""Welcome to Encyclopædia Britannica's Guide to History"" . Britannica.com. 1910",1910,1,31,war-politics,"^ ""Welcome to Encyclopædia Britannica's Guide to History"" . Britannica.com. 1910-01-31. Archived from the original on 16 April 2009 . Retrieved 2009-04-25 .",2,Global,,,,
"^ ""Usman dan Fodio (Fulani leader)"" . Britannica.com . Retrieved 2009-04-25",2009,4,25,war-politics,"^ ""Usman dan Fodio (Fulani leader)"" . Britannica.com . Retrieved 2009-04-25 .",2,Global,,,,
"^ ""List of Wars of the Crimean Tatars"" . Zum.de. Archived from the original on 1",2009,4,25,war-politics,"^ ""List of Wars of the Crimean Tatars"" . Zum.de. Archived from the original on 12 March 2009 . Retrieved 2009-04-25 .",2,Global,war,,,
"^ Ricklefs (1991), page 86",1991,,,war-politics,"^ Ricklefs (1991), page 86",2,Global,,,,
"^ ""Len Milich: Anthropogenic Desertification vs 'Natural' Climate Trends"" . Ag.a",1997,8,10,war-politics,"^ ""Len Milich: Anthropogenic Desertification vs 'Natural' Climate Trends"" . Ag.arizona.edu. 1997-08-10. Archived from the original on 2012-02-11 . Retrieved 2009-04-25 .",2,Global,climate,,,
"^ Ricklefs (1991), page 87",1991,,,war-politics,"^ Ricklefs (1991), page 87",2,Global,,,,
"^ Wadsworth, Alfred P.; Mann, Julia De Lacy (1931). The Cotton Trade and Industr",1931,,,art-culture-religion,"^ Wadsworth, Alfred P.; Mann, Julia De Lacy (1931). The Cotton Trade and Industrial Lancashire, 1600–1780 . Manchester University Press . p. 433. OCLC 2859370 .",2,Global,trade,https://en.wikipedia.org/wiki/Manchester_University_Press,Manchester_University_Press,
"^ ""Saudi Arabia – The Saud Family and Wahhabi Islam"" . Countrystudies.us . Retri",2009,4,25,art-culture-religion,"^ ""Saudi Arabia – The Saud Family and Wahhabi Islam"" . Countrystudies.us . Retrieved 2009-04-25 .",2,Middle East,,,,
"^ Ricklefs (1991), page 93",1991,,,war-politics,"^ Ricklefs (1991), page 93",2,Global,,,,
"^ Ricklefs (1991), page 102",1991,,,war-politics,"^ Ricklefs (1991), page 102",2,Global,,,,
"^ Heuken (2000), page 307",2000,,,war-politics,"^ Heuken (2000), page 307",2,Global,,,,
"^ Rosi, Adele (1998). Museum Nasional Guide Book . Jakarta: PT Indo Multi Media",1998,,,art-culture-religion,"^ Rosi, Adele (1998). Museum Nasional Guide Book . Jakarta: PT Indo Multi Media, Museum Nasional and Indonesian Heritage Society. p. 4.",2,Asia,art,,,
"^ ""Sufism in the Caucasus"" . Islamicsupremecouncil.org. Archived from the origin",2009,4,25,art-culture-religion,"^ ""Sufism in the Caucasus"" . Islamicsupremecouncil.org. Archived from the original on February 23, 2009 . Retrieved 2009-04-25 .",2,Middle East,,,,
"^ Ricklefs (1991), page 101",1991,,,war-politics,"^ Ricklefs (1991), page 101",2,Global,,,,
"^ ""Yellow Fever Attacks Philadelphia, 1793"" . EyeWitness to History . Archived f",2007,6,22,war-politics,"^ ""Yellow Fever Attacks Philadelphia, 1793"" . EyeWitness to History . Archived from the original on 7 June 2007 . Retrieved 2007-06-22 .",2,Global,,,,
"^ Ricklefs (1991), page 106",1991,,,war-politics,"^ Ricklefs (1991), page 106",2,Global,,,,
Articles needing additional references from September 2022,2022,,,art-culture-religion,Articles needing additional references from September 2022,2,Global,art,,,
"This page was last edited on 8 June 2026, at 14:15 (UTC)",8,,,war-politics,"This page was last edited on 8 June 2026, at 14:15 (UTC) .",2,Global,,,,
1800s Toggle 1800s subsection 1.1 1801 1.2 1802 1.3 1803 1.4 1804 1.5 1805 1.6 1,1,,,war-politics,1 1800s Toggle 1800s subsection 1.1 1801 1.2 1802 1.3 1803 1.4 1804 1.5 1805 1.6 1806 1.7 1807 1.8 1808 1.9 1809,2,Global,,,,
1810s Toggle 1810s subsection 2.1 1810 2.2 1811 2.3 1812 2.4 1813 2.5 1814 2.6 1,2,,,war-politics,2 1810s Toggle 1810s subsection 2.1 1810 2.2 1811 2.3 1812 2.4 1813 2.5 1814 2.6 1815 2.7 1816 2.8 1817 2.9 1818 2.10 1819,2,Global,,,,
1820s Toggle 1820s subsection 3.1 1820 3.2 1821 3.3 1822 3.4 1823 3.5 1824 3.6 1,3,,,war-politics,3 1820s Toggle 1820s subsection 3.1 1820 3.2 1821 3.3 1822 3.4 1823 3.5 1824 3.6 1825 3.7 1826 3.8 1827 3.9 1828 3.10 1829,2,Global,,,,
1830s Toggle 1830s subsection 4.1 1830 4.2 1831 4.3 1832 4.4 1833 4.5 1834 4.6 1,4,,,war-politics,4 1830s Toggle 1830s subsection 4.1 1830 4.2 1831 4.3 1832 4.4 1833 4.5 1834 4.6 1835 4.7 1836 4.8 1837 4.9 1838 4.10 1839,2,Global,,,,
1840s Toggle 1840s subsection 5.1 1840 5.2 1841 5.3 1842 5.4 1843 5.5 1844 5.6 1,5,,,war-politics,5 1840s Toggle 1840s subsection 5.1 1840 5.2 1841 5.3 1842 5.4 1843 5.5 1844 5.6 1845 5.7 1846 5.8 1847 5.9 1848 5.10 1849,2,Global,,,,
1850s Toggle 1850s subsection 6.1 1850 6.2 1851 6.3 1852 6.4 1853 6.5 1854 6.6 1,6,,,war-politics,6 1850s Toggle 1850s subsection 6.1 1850 6.2 1851 6.3 1852 6.4 1853 6.5 1854 6.6 1855 6.7 1856 6.8 1857 6.9 1858 6.10 1859,2,Global,,,,
1860s Toggle 1860s subsection 7.1 1860 7.2 1861 7.3 1862 7.4 1863 7.5 1864 7.6 1,7,,,war-politics,7 1860s Toggle 1860s subsection 7.1 1860 7.2 1861 7.3 1862 7.4 1863 7.5 1864 7.6 1865 7.7 1866 7.8 1867 7.9 1868 7.10 1869,2,Global,,,,
1870s Toggle 1870s subsection 8.1 1870 8.2 1871 8.3 1872 8.4 1873 8.5 1874 8.6 1,8,,,war-politics,8 1870s Toggle 1870s subsection 8.1 1870 8.2 1871 8.3 1872 8.4 1873 8.5 1874 8.6 1875 8.7 1876 8.8 1877 8.9 1878 8.10 1879,2,Global,,,,
1880s Toggle 1880s subsection 9.1 1880 9.2 1881 9.3 1882 9.4 1883 9.5 1884 9.6 1,9,,,war-politics,9 1880s Toggle 1880s subsection 9.1 1880 9.2 1881 9.3 1882 9.4 1883 9.5 1884 9.6 1885 9.7 1886 9.8 1887 9.9 1888 9.10 1889,2,Global,,,,
1890s Toggle 1890s subsection 10.1 1890 10.2 1891 10.3 1892 10.4 1893 10.5 1894,10,,,war-politics,10 1890s Toggle 1890s subsection 10.1 1890 10.2 1891 10.3 1892 10.4 1893 10.5 1894 10.6 1895 10.7 1896 10.8 1897 10.9 1898 10.10 1899,2,Global,,,,
First Barbary War between the United States and the Barbary States of North Afri,1,,,war-politics,First Barbary War between the United States and the Barbary States of North Africa . [ 1 ] [ 2 ] [ 3 ] [ 4 ],2,Africa,war;africa,https://en.wikipedia.org/wiki/First_Barbary_War,First_Barbary_War,
Giuseppe Piazzi,5,,,science-technology,"Giuseppe Piazzi was an Italian Catholic priest of the Theatine order, mathematician, and astronomer. He established an observatory at Palermo, now the Osservatorio Astronomico di Palermo – Giuseppe S. Vaiana. He is perhaps most famous for his discovery of the first dwarf planet, Ceres.",2,Global,war;discovery,https://en.wikipedia.org/wiki/Giuseppe_Piazzi,Giuseppe_Piazzi,"Italian Catholic priest, mathematician and astronomer (1746–1826)"
Alexander Hamilton,9,,,war-politics,"Alexander Hamilton was an American military officer, statesman, and Founding Father who served as the first U.S. secretary of the treasury from 1789 to 1795 under the presidency of George Washington. He also founded America's first political party, the Federalist Party, in 1791.",2,Americas,art,https://en.wikipedia.org/wiki/Alexander_Hamilton,Alexander_Hamilton,American Founding Father (1755–1804)
Thomas Jefferson,11,,,war-politics,"Thomas Jefferson was a Founding Father and the third president of the United States from 1801 to 1809. He was the second vice president under John Adams. Jefferson was the primary author of the Declaration of Independence, and a leading proponent of democracy, republicanism and natural rights.",1,Americas,independence;democracy;republic,https://en.wikipedia.org/wiki/Thomas_Jefferson,Thomas_Jefferson,"Founding Father, U.S. president from 1801 to 1809"
Kingdom of Great Britain,14,,,war-politics,"Great Britain, officially the Kingdom of Great Britain, was a sovereign state in Western Europe from 1707 to the end of 1800.",2,Europe,europe,https://en.wikipedia.org/wiki/Kingdom_of_Great_Britain,Kingdom_of_Great_Britain,Sovereign state in Western Europe (1707–1801)
Ranjit Singh,17,,,war-politics,"Ranjit Singh was the founder and the first maharaja of the Sikh Empire, ruling from 1801 until his death in 1839.",2,Global,empire,https://en.wikipedia.org/wiki/Maharaja_Ranjit_Singh_(Punjab),Maharaja_Ranjit_Singh_(Punjab),"Sikh Maharaja, 1801–1839"
Pope Pius VII,1801,,,art-culture-religion,Pope Pius VII was head of the Catholic Church from 14 March 1800 to his death in August 1823. He was the leader of the Papal States from June 1800 to 17 May 1809 and again from 1814 to his death. Chiaramonti was also a monk of the Order of Saint Benedict in addition to being a well-known theologian and bishop.,2,Global,,https://en.wikipedia.org/wiki/Pope_Pius_VII,Pope_Pius_VII,Head of the Catholic Church from 1800 to 1823
Alexander I of Russia,24,,,war-politics,"Alexander I of Russia, nicknamed ""the Blessed"", was Emperor of Russia from 1801, the first King of Congress Poland from 1815, and the Grand Duke of Finland from 1809 to his death in 1825. He ruled Russia during the chaotic period of the Napoleonic Wars.",1,Global,war,https://en.wikipedia.org/wiki/Alexander_I_of_Russia,Alexander_I_of_Russia,Emperor of Russia from 1801 to 1825
Battle of Abukir (1801),28,,,war-politics,"The Battle of Abukir of 8 March 1801 was the second pitched battle of the French invasion of Egypt and Syria to be fought at Abu Qir on the Mediterranean coast, near the Nile Delta. The landing of the British expeditionary force under Lieutenant-General Sir Ralph Abercromby was intended to defeat or drive out an estimated 21,000 remaining French troops in Egypt.",3,Middle East,,https://en.wikipedia.org/wiki/Battle_of_Abukir_(1801),Battle_of_Abukir_(1801),1801 battle of the French invasion of Egypt and Syria
Treaty of Amiens,29,,,war-politics,"The Treaty of Amiens temporarily ended hostilities between France, the Spanish Empire, and the United Kingdom at the end of the War of the Second Coalition. It marked the end of the French Revolutionary Wars; after a short peace it set the stage for the Napoleonic Wars. Britain gave up most of its recent conquests; France was to evacuate Naples and Egypt. Britain retained Ceylon and Trinidad.",1,Europe,war;revolution;empire;treaty;evolution,https://en.wikipedia.org/wiki/Treaty_of_Amiens,Treaty_of_Amiens,1802 Treaty during the War of the Second Coalition
Ludwig van Beethoven,33,,,art-culture-religion,"Ludwig van Beethoven was a German composer, conductor, and pianist. Regarded as one of the greatest composers in the history of Western music, he was mentored during the Classical period, and his musical style was a key driver of the transition to Romantic music, and the expansion of instrumental forms such as the symphony, the piano sonata and the string quartet.",2,Europe,art;music,https://en.wikipedia.org/wiki/Ludwig_van_Beethoven,Ludwig_van_Beethoven,German composer (1770–1827)
William Cobbett,34,,,war-politics,"William Cobbett was an English pamphleteer, journalist, politician, and farmer born in Farnham, Surrey. He was one of an agrarian faction seeking to reform Parliament, abolish ""rotten boroughs"", restrain foreign activity, and raise wages, with the goal of easing poverty among farm labourers and small land holders.",2,Global,,https://en.wikipedia.org/wiki/William_Cobbett,William_Cobbett,"English pamphleteer, farmer and journalist (1763–1835)"
Napoleonic Wars,38,,,war-politics,"The Napoleonic Wars (1803–1815) were a global series of conflicts fought by a fluctuating array of European coalitions against the French First Republic (1803–1804) under the First Consul followed by the First French Empire (1804–1815) under the Emperor of the French, Napoleon I.",1,Europe,war;empire;europe;republic,https://en.wikipedia.org/wiki/Napoleonic_Wars,Napoleonic_Wars,1803–1815 series of wars led by Napoleon
William Symington,41,,,science-technology,"William Symington (1764–1831) was a Scottish engineer and inventor during the Georgian era. He is most well known as the builder of the first practical steamboat, the Charlotte Dundas. The engine has been described as ""without doubt the most compact and efficient marine steam engine up to that time"" and its design would influence later steamboat and steamship engine designs.",2,Europe,,https://en.wikipedia.org/wiki/William_Symington,William_Symington,Scottish engineer and inventor
Louisiana Purchase,42,,,war-politics,The Louisiana Purchase was the acquisition of the territory of Louisiana by the United States from the French First Republic in 1803. This consisted of most of the land in the Mississippi River's drainage basin west of the river.,2,Americas,republic,https://en.wikipedia.org/wiki/Louisiana_Purchase,Louisiana_Purchase,1803 acquisition of region of Middle America land by the U.S. from France
Wahhabism,46,,,art-culture-religion,"Wahhabism is a Salafi revivalist movement within Sunni Islam named after the 18th-century Hanbali scholar Muhammad ibn Abd al-Wahhab. It was initially established in the central Arabian region of Najd and later spread to other parts of the Arabian Peninsula, and was the official policy of Saudi Arabia until 2022.",2,Middle East,art,https://en.wikipedia.org/wiki/Wahhabi,Wahhabi,Fundamentalist movement within Sunni Islam
First phase of Padri War (to 1825 ). [ 48 ] [ 49 ],1825,,,war-politics,First phase of Padri War (to 1825 ). [ 48 ] [ 49 ],2,Global,war,https://en.wikipedia.org/wiki/Padri_War,Padri_War,
France suppress rebellion and recover Haiti ; Toussaint Louverture dies in priso,50,,,war-politics,France suppress rebellion and recover Haiti ; Toussaint Louverture dies in prison in France. [ 50 ] [ 51 ] [ 52 ],2,Europe,,https://en.wikipedia.org/wiki/History_of_Haiti,History_of_Haiti,
World population reaches 1 billion,1,,,war-politics,World population reaches 1 billion.,2,Global,,https://en.wikipedia.org/wiki/World_population,World_population,
"Symphony No. 3 by Beethoven, the ""Eroica"" marks the start of highly creative ""mi",3,,,art-culture-religion,"Symphony No. 3 by Beethoven, the ""Eroica"" marks the start of highly creative ""middle period.""",2,Global,art,https://en.wikipedia.org/wiki/Symphony_No._3_(Beethoven),Symphony_No._3_(Beethoven),
Herman Willem Daendels,53,,,war-politics,Herman Willem Daendels was a Dutch military officer and colonial administrator who served as governor-general of the Dutch East Indies from 1808 to 1811.,2,Europe,,https://en.wikipedia.org/wiki/Herman_Willem_Daendels,Herman_Willem_Daendels,Dutch military officer and colonial administrator (1762–1818)
"Beethoven's Piano Concerto No. 5 , ""The Emperor.""",5,,,war-politics,"Beethoven's Piano Concerto No. 5 , ""The Emperor.""",2,Global,,https://en.wikipedia.org/wiki/Piano_Concerto_No._5_(Beethoven),Piano_Concerto_No._5_(Beethoven),
Paraguay,15,,,war-politics,"Paraguay, officially the Republic of Paraguay, is a landlocked country located in the central region of South America. It borders Bolivia to the northwest and north, Brazil to the northeast and east, and Argentina to the southeast, south, and west. Paraguay has access to the Atlantic Ocean via the Paraná–Paraguay Waterway.",2,Americas,republic,https://en.wikipedia.org/wiki/Paraguay,Paraguay,Country in South America
War of 1812,1812,,,war-politics,The War of 1812 was a conflict initiated by the United States against the United Kingdom and its allies fought mainly in North America and at sea during the wider Napoleonic Wars. The United States declared war on Britain on 18 June 1812.,1,Europe,war,https://en.wikipedia.org/wiki/War_of_1812,War_of_1812,1812–1815 conflict in North America
"April: Mount Tambora in Sumbawa island erupts, becoming the largest volcanic eru",54,,,exploration-disasters,"April: Mount Tambora in Sumbawa island erupts, becoming the largest volcanic eruption in recorded history , destroying Tambora culture , and killing at least 71,000 people, including its aftermath. The eruption created global climate anomalies known as "" volcanic winter "". [ 54 ]",2,Africa,climate,https://en.wikipedia.org/wiki/Mount_Tambora,Mount_Tambora,
Congress of Vienna,55,,,war-politics,The Congress of Vienna of 1814–1815 was a series of international diplomatic meetings to discuss and agree upon a possible new layout of the European political and constitutional order after the downfall of the French Emperor Napoleon Bonaparte. Participants were representatives of all European powers and other stakeholders.,1,Europe,art;europe,https://en.wikipedia.org/wiki/Congress_of_Vienna,Congress_of_Vienna,1814–1815 meetings to create a peace plan for Europe
1817: widespread economic distress in Europe. [ 56 ],56,,,war-politics,1816–1817: widespread economic distress in Europe. [ 56 ],2,Europe,europe,,,
Year Without a Summer : Unusually cold conditions wreak havoc throughout the Nor,1815,,,war-politics,"Year Without a Summer : Unusually cold conditions wreak havoc throughout the Northern Hemisphere, likely influenced by the 1815 explosion of Mount Tambora .",2,Global,,https://en.wikipedia.org/wiki/Year_Without_a_Summer,Year_Without_a_Summer,
John Keats writes his odes of 1819,1819,,,war-politics,John Keats writes his odes of 1819 .,2,Global,,https://en.wikipedia.org/wiki/John_Keats,John_Keats,
"Théodore Géricault paints his masterpiece The Raft of the Medusa , and exhibits",1819,,,art-culture-religion,"Théodore Géricault paints his masterpiece The Raft of the Medusa , and exhibits it in the French Salon of 1819 at the Louvre .",2,Americas,,https://en.wikipedia.org/wiki/Th%C3%A9odore_G%C3%A9ricault,Théodore_Géricault,
Revolutions of 1820 in Southern Europe,1820,,,war-politics,Revolutions of 1820 in Southern Europe.,1,Europe,revolution;europe;evolution,https://en.wikipedia.org/wiki/Revolutions_of_1820,Revolutions_of_1820,
Pedro I of Brazil,7,,,war-politics,"Dom Pedro I, known in Brazil and in Portugal as ""the Liberator"" or ""the Soldier King"" in Portugal, was the founder and first ruler of the Empire of Brazil from 1822 to 1831 and King of Portugal in 1826.",2,Europe,empire,https://en.wikipedia.org/wiki/Pedro_I_of_Brazil,Pedro_I_of_Brazil,Emperor of Brazil (1822–31) and King of Portugal (1826)
Java War . (to 1830),1830,,,war-politics,Java War . (to 1830),2,Global,war,https://en.wikipedia.org/wiki/Java_War,Java_War,
1829: Founding of University College London in 1826 and King's College London in,1826,,,war-politics,1826–1829: Founding of University College London in 1826 and King's College London in 1829.,2,Global,,https://en.wikipedia.org/wiki/University_College_London,University_College_London,
